#Completeness function mag, comp 
23.78028242112027,0.9733910891089109
24.10315564811495,0.9753238741517581
24.426028875109633,0.9759556103575833
24.748902102104317,0.9757613424487259
25.071775329098998,0.963952765692977
25.394648556093685,0.9562226391494684
25.717521783088365,0.9489414694894147
26.04039501008305,0.9563345633456335
26.363268237077733,0.9299323909035033
26.686141464072413,0.9288389513108615
27.0090146910671,0.9473039215686274
27.33188791806178,0.9408866995073891
27.654761145056465,0.9454887218045113
27.97763437205115,0.923217550274223
28.30050759904583,0.9473684210526315
28.623380826040517,0.8874538745387454
28.946254053035197,0.7135709818636647
29.26912728002988,0.3884093711467324
29.592000507024565,0.17972070431086826
29.914873734019245,0.09319899244332494
30.237746961013933,0.05295566502463054
30.560620188008613,0.03620474406991261
30.883493415003297,0.02882205513784461
31.20636664199798,0.021844660194174758
