#Completeness function mag, comp 
23.768532666965896,0.9892400806993947
24.068366408652977,0.9834437086092715
24.368200150340066,0.9874255459960292
24.668033892027147,0.9811827956989247
24.967867633714228,0.9863481228668942
25.267701375401316,0.982444733420026
25.567535117088397,0.9808327825512227
25.867368858775485,0.9838165879973028
26.167202600462566,0.9986568166554735
26.467036342149655,0.99933818663137
26.766870083836736,0.9573048699132756
27.066703825523824,0.8075898801597869
27.366537567210905,0.61316319677636
27.666371308897986,0.42657807308970097
27.966205050585074,0.26187335092348285
28.266038792272155,0.15327481431465226
28.565872533959244,0.10379241516966067
28.865706275646325,0.07820855614973261
29.165540017333413,0.06706507304116865
29.465373759020494,0.05589225589225589
29.76520750070758,0.04426559356136821
30.065041242394663,0.0496031746031746
30.364874984081744,0.04108681245858184
30.664708725768833,0.042140468227424746
