#Completeness function mag, comp 
23.76874288581017,0.9872739450770261
24.06869705018505,0.9840848806366048
24.36865121455994,0.9873586161011311
24.668605378934824,0.9846256684491979
24.96855954330971,0.9834437086092715
25.268513707684598,0.9765100671140939
25.56846787205948,0.9765013054830287
25.868422036434367,0.9795361527967258
26.168376200809252,0.9708474576271187
26.468330365184137,0.973132372214941
26.768284529559025,0.9602425876010782
27.068238693933907,0.9656765676567657
27.368192858308795,0.9513981358189081
27.66814702268368,0.9552139037433155
27.968101187058565,0.9694501018329938
28.26805535143345,0.9033311561071196
28.568009515808335,0.7269021739130435
28.867963680183223,0.4259501965923984
29.167917844558104,0.2356902356902357
29.467872008932993,0.12425644415069398
29.767826173307878,0.09546061415220294
30.067780337682763,0.06524633821571238
30.36773450205765,0.05088195386702849
30.667688666432532,0.04131147540983607
